gene_symbol,hgnc_id,type,locus_type,JAX,MSK,NWU,UCSF,JAX_MorPhiC_Code,MSK_category,one2one_ortholog_hgnc,mgi_id,impc_viability,impc_phenotypes_homozygote,impc_phenotypes_heterozygote,impc_phenotypes_hemizygote,percentage_essential_all,mean_score_all,cellular_essential,omim,omim_name,dd,dd_name,dd_confidence_category,dd_allelic_requirement
ADGRG6,HGNC:13841,approved_symbol,gene_with_protein_product,JAX,-,-,-,ExE006,-,y,MGI:1916151,-,-,-,-,NA,NA,-,omim_disease,LETHAL CONGENITAL CONTRACTURE SYNDROME 9,dd,LETHAL CONGENITAL CONTRACTURE SYNDROME 9,definitive,biallelic_autosomal
ASCL1,HGNC:738,approved_symbol,gene_with_protein_product,JAX,-,NWU,UCSF,NE003,-,y,MGI:96919,-,-,-,-,176.252.319.109.462,-103.811.859.429.361,n,-,-,dd,AUTOSOMAL RECESSIVE INTELLECTUAL DEVELOPMENTAL DISORDER,limited,biallelic_autosomal
ATP10D,HGNC:13549,approved_symbol,gene_with_protein_product,JAX,-,-,-,ExE022,-,y,MGI:2450125,-,-,-,-,0,130.117.947.605.767,n,-,-,-,-,-,-
C2orf72,HGNC:27418,approved_symbol,gene_with_protein_product,JAX,-,-,-,ExE020,-,y,MGI:1920042,-,-,-,-,0,856.532.398.780.552,n,-,-,-,-,-,-
C4orf19,HGNC:25618,approved_symbol,gene_with_protein_product,JAX,-,-,-,ExE018,-,y,MGI:1923511,viable,enlarged heart|abnormal spleen morphology|abnormal heart morphology|small spleen|increased circulating HDL cholesterol level,-,-,0,-230.075.235.774.335,n,-,-,-,-,-,-
CCKBR,HGNC:1571,approved_symbol,gene_with_protein_product,JAX,-,-,-,ExE012,-,y,MGI:99479,viable,abnormal autopod morphology,-,-,927.643.784.786.642,-15.647.052.243.676,n,-,-,-,-,-,-
CSF3R,HGNC:2439,approved_symbol,gene_with_protein_product,JAX,-,-,-,ExE014,-,y,MGI:1339755,subviable,"preweaning lethality, incomplete penetrance",hydrometra|small superior vagus ganglion|abnormal heart morphology|small testis|abnormal testis morphology|enlarged heart,-,185.528.756.957.328,-947.295.768.640.827,n,omim_disease,"NEUTROPHILIA, HEREDITARY|NEUTROPENIA, SEVERE CONGENITAL, 7, AUTOSOMAL RECESSIVE",-,-,-,-
CYP2C18,HGNC:2620,approved_symbol,gene_with_protein_product,JAX,-,-,-,ExE007,-,-,-,-,-,-,-,371.057.513.914.657,-189.062.811.670.222,n,omim_disease,"DRUG METABOLISM, POOR, CYP2C19-RELATED",-,-,-,-
DLX3,HGNC:2916,approved_symbol,gene_with_protein_product,JAX,-,NWU,UCSF,ExE038,-,y,MGI:94903,lethal,"preweaning lethality, complete penetrance",edema|hemorrhage|embryonic growth retardation|abnormal heart morphology|small heart|increased circulating alkaline phosphatase level,-,111.317.254.174.397,-170.398.889.040.138,n,omim_disease,"AMELOGENESIS IMPERFECTA, TYPE IV|TRICHODENTOOSSEOUS SYNDROME",-,-,-,-
DLX4,HGNC:2917,approved_symbol,gene_with_protein_product,JAX,-,-,UCSF,ExE039,-,y,MGI:94904,viable,-,-,-,0,-14.789.437.933.064,n,omim_disease,OROFACIAL CLEFT 15,-,-,-,-
